id,title,note,excerpt,url,tags,created,cover,highlights,favorite
655894854,Trakke | Waxed Canvas Backpacks & Messenger Bags,,"Waxed Canvas Backpacks, Messenger Bags & Accessories for Travel and Adventure. Handmade in Scotland and Built to Last. Worldwide Shipping.",https://trakke.com/,,2023-10-04T20:10:49.379Z,https://cdn.shopify.com/s/files/1/0021/2470/9954/files/Trakke_Logo_Orange_0865a9ce-8e56-4b49-99eb-f527bd8cee4c.png?height=628&pad_color=ffffff&v=1627556462&width=1200,,false
408380098,MAKR - Home,,,https://makr.com/,"bags, products",2022-06-20T18:17:37.332Z,https://rdl.ink/render/https%3A%2F%2Fmakr.com%2F,,false
367515836,BAGS,,,https://www.demobaza.com/collections/bags-demoman,products,2022-02-18T21:10:36.761Z,https://cdn.shopify.com/s/files/1/2395/8271/files/DEMOBAZA_logo_shopifyNEW.jpg?height=628&pad_color=ffffff&v=1517064141&width=1200,,false
365258901,Ultra Light Bike Carry – SDR Traveller,,"SDR Traveller, minimalist, ultra light and discreet bike products.",https://sdrtraveller.com/collections/bike,,2022-02-13T21:41:06.000Z,https://cdn.shopify.com/s/files/1/0611/6393/collections/SDRTraveller-Courier35-0002-2-2.jpg?v=1501663274,,false
365258900,USA MADE BACKPACKS,,Handmade in California Bags for cyclists and photographers. Mil-spec materials Lifetime warranty Made in the USA,https://ilequipment.com,,2022-02-13T21:41:06.000Z,https://rdl.ink/render/https%3A%2F%2Filequipment.com,,false
365258899,VIEW ALL | KILLSPENCER®,,The KILLSPENCER online store is the exclusive destination to view and purchase the latest creations coming out of our Los Angeles workshop.,https://killspencer.com/collections/all,,2022-02-13T21:41:06.000Z,http://cdn.shopify.com/s/files/1/0906/5342/t/24/assets/logo.png?v=12617013122105189630,,false
365258898,"Invisible Backpack ONE - minimalist, functional 15"" laptop backpack - black — OPPOSETHIS",,,https://www.opposethis.com/products/invisible-backpack-one,,2022-02-13T21:41:06.000Z,,,false
365258897,Atelier YUL: – The Atelier YUL,,"Montréal-based brand that crafts minimalist carryalls for architects and designers. Our pieces seek a balance of strength, utility, and beauty.",https://theatelieryul.com,,2022-02-13T21:41:06.000Z,https://cdn.shopify.com/s/files/1/1254/3081/files/YUL_Logo_2020-01_118bad01-bb2a-4fc3-9b2e-1a184ed6bfc3.png?height=628&pad_color=ffffff&v=1624215454&width=1200,,false
365258896,Bags – Haerfest Bags,,We focus on making the best bags for people who are reimagining the way that we work. When a phone and laptop allows you to setup a desk anywhere; your bag becomes your office in between office.,https://haerfest.com/collections/bags,,2022-02-13T21:41:06.000Z,http://cdn.shopify.com/s/files/1/0017/9686/6113/files/haerfest-logo_789f13cc-9dbd-4edd-9bea-3d982372cf64.jpg?v=1585766372,,false
365258895,BAGJACK | TECHNICAL SUPPORT BAGS - HANDMADE IN BERLIN,,,https://www.bagjackshop.com/en,,2022-02-13T21:41:06.000Z,https://cdn02.plentymarkets.com/xkwzul1cvawc/plugin/11/ceres/images/ceres-logo.svg,,false
365258894,Rennen X-Pac Daypack – Boundary Supply,,"The Rennen X-Pac Daypack was inspired by traditional styling and a mission to rethink what is possible with classic design and technical materials. The silhouette provides a familiar look and comfort. USA-made materials join together with Boundary’s technical build, quality, and modular upgrades bring this product to a new sustainability level that soars above industry standards.

Specs


Dimensions: 11W x 18H x 7D""
Capacity: 22 L
Weight: 1.69 lbs. / 0.77 kg




Features


Custom VX21 X-Pac material (made in the USA)
MagDoc allows quick and secure attachment of compatible accessories 
Front pocket with magnetic closure
Side pocket fits 22 oz. bottles
15"" Nywool™ laptop sleeve
Interior zippered pocket
Two internal throw pockets
Padded soft twill handle
YKK® stormguard zippers
HT Key Clip dock
Lifetime guarantee
Bluesign mills/Factories




 What is X-Pac?
Boundary X-Pac fuses futuristic style with supreme functionality. The unique construction is made in the USA by laminating three layers into one lightweight and waterproof material. For its weight, X-Pac is stronger and has greater stretch resistance than any other available fabric.

210D Nylon Cordura® with Barricade™ durable, water-repellent (DWR) coating
Kevlar® fiber X-Ply adds bias stability and tear strength
Clear film is waterproof and controls stretch",https://www.boundarysupply.com/products/rennen-x-pac-daypack?adgroupid=120477551503&adid=519402418010&campaignid=12977662933&gclid=Cj0KCQjw2NyFBhDoARIsAMtHtZ4Pyr4aqKd9Xb2AN7HsShxGO4hhGd7f09NyxvE-Z9w4tlcWxIpdJwYaAugyEALw_wcB&hsa_acc=9121938294&hsa_ad=519402418010&hsa_cam=12977662933&hsa_grp=120477551503&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_src=u&hsa_tgt=pla-1255329276956&hsa_ver=3,,2022-02-13T21:41:06.000Z,https://cdn.shopify.com/s/files/1/0104/4630/7364/products/Rennen-X-Pac-Urbane-Grey-Daypack_Front_3a0a5435-d768-42d3-b81f-b8a585694a71.jpg?v=1637908040,,false
365258893,Travel Accessories | Samaya®,,"Porter un accessoire de voyage Samaya®, c’est faire le choix d’équipements sans compromis entre technicité, durabilité et élégance. C’est adhérer à une certaine vision du monde qui privilégie le « mieux » sur le « plus » avec des produits qui s’adaptent à toutes vos activités, en ville comme en pleine nature. Jusque-là",https://www.samaya-equipment.com/collections/accessoires-de-voyage,,2022-02-13T21:41:06.000Z,https://cdn.shopify.com/s/files/1/0517/4860/2013/collections/collection-accessoires-de-voyage.jpg?v=1611250333,,false
